,date,amikacin,aminosalicylic-acid,amoxicillin,amoxicillin-sodium,ampicillin,azithromycin,aztreonam,benzylpenicillin-sodium,cefaclor,cefadroxil,cefalexin,ceferoxime-axetil,cefixime,cefotaxime-sodium,cefpodoxime,cefradine,ceftazidime,ceftriaxone-sodium,cefuroxime-sodium,chloramphenicol,ciprofloxacin,clarithromycin,clindamycin,clindamycin-phosphate,clofazimine,co-amoxiclav,co-trimoxazole,colistimethate-sodium,colistin-sulfate,cycloserine,dapsone,daptomycin,demeclocycline-hydrochloride,doxycycline-hyclate,doxycycline-monohydrate,ertapenem,erythromycin,erythromycin-ethylsuccinate,erythromycin-stearate,ethambutol-hydrochloride,fidaxomicin,fluampicil,flucloxacillin-magnesium,flucloxacillin-sodium,fosfomycin,fosfomycin-calcium,fosfomycin-trometamol,fusidic-acid,gentamicin,imipenem-cilastatin,isoniazid,levofloxacin,linezolid,lymecycline,meropenem,methenamine-hippurate,metronidazole,minocycline-hydrochloride,moxifloxacin,nalidixic,neomycin,nitrofurantoin,norfloxacin,ofloxacin,oxytetracycline,phenoxymethylpenicillin,piperacillin-tazobactam,pivmecillinam,pristinamycin,pyrazinamide,rifabutin,rifampicin,rifampicin-combined-preparations,rifaximin,sodium-fusidate,sulfadiazine,sulfamethoxypyridazine,sulfapyridine,teicoplanin,telithromycin,temocillin,tetracycline,thalidomide,ticarcillin-clabulanic-acid,tigecycline,tobramycin,trimethoprim,trinidazole,vancomycin-hydrochloride,CCG_code,mrsa_count,month,year,ccg_id
0,2012-12-01,0,0,134307,0,0,1790,0,0,70,0,7873,0,2,0,0,60,0,0,0,0,2159,11395,612,0,0,8468,3066,490,0,0,238,0,0,4212,28,0,19183,24164,228,28,0,124,0,33704,0,0,0,0,15,0,0,0,0,11361,0,120,2789,728,20,0,210,8599,0,89,12741,45930,0,0,0,0,0,144,168,476,0,0,0,0,0,0,0,644,0,0,0,56,17740,0,0,00C,1.0,12,2012,0
1,2013-01-01,0,0,102222,0,0,2131,0,2,0,0,6908,0,0,0,0,60,0,1,0,0,2544,9775,696,0,0,8827,3522,426,0,0,424,0,0,5526,28,0,19328,17484,288,0,0,420,0,35582,0,0,0,0,0,0,168,0,0,11890,0,60,2889,756,0,0,126,10172,18,20,15294,40430,0,0,0,0,0,162,168,196,0,0,0,0,0,0,0,672,0,0,0,84,23345,0,0,00C,0.0,1,2013,0
2,2013-02-01,0,0,83276,0,0,1304,0,0,200,0,7896,0,0,0,0,0,0,0,0,0,1866,8469,605,0,0,6285,2148,570,0,0,434,0,0,4853,84,0,17839,18300,112,0,0,252,0,35986,0,0,2,0,0,0,168,17,0,10474,0,60,2999,476,20,0,126,8154,20,61,12354,45320,0,0,0,0,0,204,84,236,0,0,0,0,0,0,0,1247,0,0,0,0,19501,0,0,00C,0.0,2,2013,0
3,2013-03-01,0,0,80918,0,0,1801,0,0,0,0,7331,0,7,0,0,60,0,0,0,0,2078,8312,666,0,0,7119,3104,376,0,0,294,0,28,5226,28,0,16799,18128,304,0,0,224,0,34904,0,0,2,0,0,0,0,0,0,12547,0,180,3178,168,15,0,168,9567,0,10,14780,48800,0,0,0,0,0,204,84,588,0,0,0,0,0,0,0,404,0,0,0,56,19844,4,0,00C,0.0,3,2013,0
4,2013-04-01,0,0,72817,0,0,1534,0,0,56,0,7727,20,0,0,0,0,0,0,0,0,2087,7251,752,0,0,6689,3216,770,0,0,242,0,140,4581,168,0,14128,12568,216,0,0,236,0,32856,0,0,1,0,0,0,0,56,0,13866,0,120,3465,588,5,0,168,7969,12,0,12882,32410,0,0,0,0,0,316,84,462,0,0,0,0,0,0,0,700,0,0,0,56,16619,0,0,00C,0.0,4,2013,0
5,2013-05-01,0,0,70676,0,0,1820,0,0,14,0,6274,0,0,0,0,0,0,0,0,0,1809,7644,744,0,0,6270,3176,576,0,0,366,0,112,4340,28,0,17752,15860,156,0,0,280,0,39069,0,0,2,0,0,0,168,0,0,12650,0,60,3369,448,29,0,210,9384,0,47,14214,38600,0,0,0,0,0,288,0,769,0,0,0,0,0,0,0,296,0,0,0,0,19706,0,0,00C,0.0,5,2013,0
6,2013-06-01,0,0,53019,15,0,1527,0,0,0,0,5083,0,0,0,0,0,0,0,0,0,2058,5574,542,0,0,6706,2229,490,0,0,322,0,168,3928,0,0,13835,14228,144,0,0,56,0,38776,0,0,0,0,0,0,0,0,0,12523,0,120,2872,280,10,0,168,8689,0,20,12236,32660,0,0,0,0,0,172,112,415,0,0,0,0,0,0,0,168,0,0,0,0,19599,0,0,00C,0.0,6,2013,0
7,2013-07-01,0,0,49817,0,0,2072,0,0,0,0,7829,0,0,0,0,60,0,0,0,0,1823,7634,672,0,0,5742,2448,480,0,0,406,0,112,4074,84,0,18868,16872,320,0,0,28,0,49514,0,0,0,0,0,0,168,0,0,12642,0,0,3842,392,10,0,210,8923,68,35,15066,37292,0,0,0,0,0,324,0,490,0,0,0,0,0,0,0,728,0,0,0,0,20456,0,0,00C,0.0,7,2013,0
8,2013-08-01,0,0,41463,0,0,1959,0,0,14,0,5278,0,2,0,0,120,0,0,0,0,2566,6956,200,0,0,6837,2636,728,0,0,308,0,0,3932,28,0,16440,11956,216,224,0,252,0,46311,0,0,4,0,0,0,0,0,0,13314,0,180,3609,336,0,0,168,8903,0,48,11584,29102,0,0,0,0,0,116,0,532,0,0,0,0,0,0,0,308,0,0,0,0,18738,0,56,00C,0.0,8,2013,0
9,2013-09-01,0,0,53941,0,0,1691,0,0,0,0,5596,20,0,0,0,120,0,0,0,0,2266,5432,184,0,0,7521,2892,690,0,0,350,0,84,4236,84,0,18408,11076,100,56,0,112,0,37136,0,0,7,0,0,0,168,0,0,11270,0,60,3009,196,0,0,126,7898,12,20,13948,27152,0,0,0,0,0,176,112,378,0,0,0,0,0,0,0,448,0,0,0,0,18804,4,112,00C,1.0,9,2013,0
