,date,year,month,ccg_id,amoxicillin,ampicillin,benzylpenicillin-sodium,co-amoxiclav,flucloxacillin-magnesium,flucloxacillin-sodium,phenoxymethylpenicillin,piperacillin-tazobactam,pivmecillinam,temocillin,ticarcillin-clabulanic-acid,aztreonam,cefaclor,cefadroxil,cefalexin,ceferoxime-axetil,cefixime,cefotaxime-sodium,cefpodoxime,cefradine,ceftazidime,ceftriaxone-sodium,cefuroxime-sodium,ertapenem,imipenem-cilastatin,meropenem,mrsa_count
0,2012-12-01,2012,12,0,134307,0,0,8468,0,33704,45930,0,0,0,0,0,70,0,7873,0,2,0,0,60,0,0,0,0,0,0,1.0
1,2013-01-01,2013,1,0,102222,0,2,8827,0,35582,40430,0,0,0,0,0,0,0,6908,0,0,0,0,60,0,1,0,0,0,0,0.0
2,2013-02-01,2013,2,0,83276,0,0,6285,0,35986,45320,0,0,0,0,0,200,0,7896,0,0,0,0,0,0,0,0,0,0,0,0.0
3,2013-03-01,2013,3,0,80918,0,0,7119,0,34904,48800,0,0,0,0,0,0,0,7331,0,7,0,0,60,0,0,0,0,0,0,0.0
4,2013-04-01,2013,4,0,72817,0,0,6689,0,32856,32410,0,0,0,0,0,56,0,7727,20,0,0,0,0,0,0,0,0,0,0,0.0
5,2013-05-01,2013,5,0,70676,0,0,6270,0,39069,38600,0,0,0,0,0,14,0,6274,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2013-06-01,2013,6,0,53019,0,0,6706,0,38776,32660,0,0,0,0,0,0,0,5083,0,0,0,0,0,0,0,0,0,0,0,0.0
7,2013-07-01,2013,7,0,49817,0,0,5742,0,49514,37292,0,0,0,0,0,0,0,7829,0,0,0,0,60,0,0,0,0,0,0,0.0
8,2013-08-01,2013,8,0,41463,0,0,6837,0,46311,29102,0,0,0,0,0,14,0,5278,0,2,0,0,120,0,0,0,0,0,0,0.0
9,2013-09-01,2013,9,0,53941,0,0,7521,0,37136,27152,0,0,0,0,0,0,0,5596,20,0,0,0,120,0,0,0,0,0,0,1.0
10,2013-10-01,2013,10,0,68365,0,0,9619,0,37322,32399,0,0,0,0,0,0,0,6797,48,0,0,0,0,0,0,0,0,0,0,0.0
11,2013-11-01,2013,11,0,73722,0,0,7097,0,37211,26736,0,0,0,0,0,0,0,6874,28,0,0,0,60,0,0,0,0,0,0,0.0
12,2013-12-01,2013,12,0,103524,0,0,9834,0,33653,37976,0,0,0,0,0,28,0,7403,0,0,0,0,140,0,0,0,0,0,0,1.0
13,2014-01-01,2014,1,0,80373,0,0,8677,0,34460,35618,0,0,0,0,0,100,0,8838,0,0,0,0,0,0,0,0,0,0,0,0.0
14,2014-02-01,2014,2,0,82264,0,0,6210,0,35446,36900,0,8,0,0,0,21,0,8079,0,0,0,0,0,0,0,0,0,0,0,0.0
15,2014-03-01,2014,3,0,80232,0,0,8811,0,37010,47104,0,0,0,0,0,100,0,8079,0,0,0,0,60,0,0,0,0,0,0,0.0
16,2014-04-01,2014,4,0,69858,0,0,7070,0,36404,44172,0,0,0,0,0,300,0,7502,0,0,0,0,0,0,0,0,0,0,0,0.0
17,2014-05-01,2014,5,0,61331,0,0,7114,0,38131,34384,0,0,0,0,0,200,0,8575,28,0,0,0,60,0,0,0,0,0,0,0.0
18,2014-06-01,2014,6,0,59688,0,0,7058,0,40762,34500,0,0,0,0,0,100,0,8532,0,0,0,0,0,0,0,0,0,0,0,1.0
19,2014-07-01,2014,7,0,54181,0,0,8306,0,46276,32565,0,0,0,0,0,0,0,8716,42,2,0,0,60,0,0,0,14,0,0,0.0
